#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-27T16:24:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e57ecdb58ba	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/140/34&tab:{J/AJ/140/34/table3}&key:source=J/AJ/140/34/table1&HTTPPRM:&&-ref=VIZ5e57ecdb58ba&-out.max=50&-out.form=Detailed results&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Nova&-out=Year&-out=T0&-out=Tpeak&-out=Vpeak&-out=t2&-out=t3&-out=t6&-out=t9&-out=l_VQ&-out=VQ&-out=tQ&-out=n_tQ&-out=Class&-out=lc&-ignore=lc=*&lc=lc&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/140/34/table1&
#-source= J/AJ/140/34/table3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out=Nova
#-out=Year
#-out=T0
#-out=Tpeak
#-out=Vpeak
#-out=t2
#-out=t3
#-out=t6
#-out=t9
#-out=l_VQ
#-out=VQ
#-out=tQ
#-out=n_tQ
#-out=Class
#-out=lc
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#-out.src=J/AJ/140/34/table1
#-source=J/AJ/140/34
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_51400034
#Name: J/AJ/140/34
#Title: Classification of nova light curves (Strope+, 2010)
#Table	J_AJ_140_34_table3:
#Name: J/AJ/140/34/table3
#Title: Definitions and examples of light curve classes
#Column	Class	(A1)	[SPDCOFJ] Class code	[ucd=meta.code.class]
#Column	Def	(a102)	Definition	[ucd=meta.note]
#Column	Ex	(a31)	Examples	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
Class|Def|Ex|Simbad
 | | |
-|------------------------------------------------------------------------------------------------------|-------------------------------|------
S|Smooth; power-law decline with no major fluctuations                                                  |CP Lac, V1668 Cyg, V2275 Cyg   |Simbad
P|Plateau; smooth decline interrupted by a long-lasting nearly flat interval followed by steeper decline|V4633 Sgr, CP Pup, RS Oph      |Simbad
D|Dust dip; decline interrupted by fast decline, minimum, and recovery to just below original decline   |DQ Her, FH Ser, V705 Cas       |Simbad
C|Cusp; power-law decline plus secondary maximum with steepening rise then steep decline                |V2362 Cyg, V1493 Aql, V2491 Cyg|Simbad
O|Oscillations; smooth decline with interval showing quasi-sinusoidal variations                        |V603 Aql, GK Per, V1494 Aql    |Simbad
F|Flat topped; smooth light curve with an extended interval at the peak with near constant brightness   |DO Aql, V849 Oph, BT Mon       |Simbad
J|Jitter; decline displays substantial variability often as short-duration brightenings                 |DK Lac, HR Del, V723 Cas       |Simbad

#Table	J_AJ_140_34_table1:
#Name: J/AJ/140/34/table1
#Title: Catalogued novae and their primary light curve properties
#Column	Nova	(A9)	Nova name	[ucd=meta.id;meta.main]
#Column	Year	(I4)	Year of discovery	[ucd=time.epoch]
#Column	T0	(I7)	Fiducial time (JD)	[ucd=time.epoch]
#Column	Tpeak	(I7)	Peak time (JD)	[ucd=time.epoch]
#Column	Vpeak	(F4.1)	Peak magnitude	[ucd=phot.mag;em.opt.V]
#Column	t2	(I3)	Time to decline by 2mag from maximum	[ucd=time.interval]
#Column	t3	(I3)	Time to decline by 3mag from maximum	[ucd=time.interval]
#Column	t6	(I4)	? Time to decline by 6mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	t9	(I4)	? Time to decline by 9mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	l_VQ	(A1)	[~>] Limit flag on VQ	[ucd=meta.code.error]
#Column	VQ	(F4.1)	Magnitude in quiescence	[ucd=phot.mag;em.opt.V]
#Column	tQ	(I5)	? Time of quiescence [NULL integer written as an empty string]	[ucd=time.interval]
#Column	n_tQ	(A1)	[a] bright quiescence (1)	[ucd=meta.note]
#Column	Class	(A6)	Class (2)	[ucd=meta.code;src.var]
#Column	lc	(A2)	light curve	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Nova|Year|T0|Tpeak|Vpeak|t2|t3|t6|t9|l_VQ|VQ|tQ|n_tQ|Class|lc|Simbad|_RA|_DE
 |yr|d|d|mag|d|d|d|d| |mag|d| | | | |deg|deg
---------|----|-------|-------|----|---|---|----|----|-|----|-----|-|------|--|------|---------|---------
OS And   |1986|2446767|2446773| 6.5| 11| 23| 199| 770| |17.5|     | |D(23) |lc|Simbad|348.02400|+47.47214
CI Aql   |2000|2451660|2451672| 9.0| 25| 32| 417|    | |16.7|  550| |P(32) |lc|Simbad|283.01487|-01.47761
DO Aql   |1925|2424411|2424470| 8.5|295|900|1280|    | |18.0|     | |F(900)|lc|Simbad|292.85796|-06.42731
V356 Aql |1936|2428399|2428445| 7.0|127|140| 580|    | |18.3|     | |J(140)|lc|Simbad|289.30637|+01.72281
V528 Aql |1945|2431693|2431696| 6.9| 16| 38| 119|    | |18.5|     | |S(38) |lc|Simbad|289.82904|+00.63161
V603 Aql |1918|2421749|2421755|-0.5|  5| 12| 149| 743| |11.7| 6800| |O(12) |lc|Simbad|282.22765|+00.58413
V1229 Aql|1970|2440689|2440690| 6.6| 18| 32|  56|    | |18.1|     | |P(32) |lc|Simbad|291.18550|+04.24686
V1370 Aql|1982|2444998|2444999| 7.7| 15| 28| 199|    | |18.0|     | |D(28) |lc|Simbad|290.83792|+02.49058
V1419 Aql|1993|2449124|2449130| 7.6| 25| 32| 486|2000|~|21.0|     | |D(32) |lc|Simbad|288.27833|+01.57314
V1425 Aql|1995|2449755|2449757| 8.0| 27| 79| 564|1276|~|20.0|     | |S(79) |lc|Simbad|286.36112|-01.70389
V1493 Aql|1999|2451372|2451374|10.1|  9| 50| 170|    |~|21.0|     | |C(50) |lc|Simbad|286.90375|+12.52394
V1494 Aql|1999|2451514|2451516| 4.1|  8| 16| 170| 478| |17.1| 2500| |O(16) |lc|Simbad|290.77208|+04.95531
T Aur    |1891|2412077|2412083| 4.5| 80| 84|  96|6300| |14.9|     | |D(84) |lc|Simbad|082.99633|+30.44583
V705 Cas |1993|2449325|2449340| 5.7| 33| 67|  75|1529| |16.4| 2500| |D(67) |lc|Simbad|355.44662|+57.51653
V723 Cas |1995|2449956|2450072| 7.1|263|299|1215|    | |15.7| 3000|a|J(299)|lc|Simbad|016.27233|+54.01119
V842 Cen |1986|2446756|2446760| 4.9| 43| 48|  60|1213| |15.8|     | |D(48) |lc|Simbad|218.96896|-57.62647
V868 Cen |1991|2448347|2448349| 8.7| 31| 82| 450|    | |19.9|     | |J(82) |lc|Simbad|207.54417|-63.14778
V888 Cen |1995|2449771|2449774| 8.0| 38| 90| 302|    | |15.2|  400| |O(90) |lc|Simbad|195.63400|-60.19453
V1039 Cen|2001|2452185|2452185| 9.3| 25|174| 850|    |~|21.0|     | |J(174)|lc|Simbad|208.92196|-64.26608
BY Cir   |1995|2449745|2449746| 7.4| 35|124| 628|    | |17.9|     | |P(124)|lc|Simbad|221.22312|-63.89872
DD Cir   |1999|2451410|2451415| 7.6|  5| 16|    |    | |20.2|     | |P(16) |lc|Simbad|215.84754|-69.14589
V693 CrA |1981|2444696|2444698| 7.0| 10| 18|    |    |>|21.0|     | |S(18) |lc|Simbad|280.49083|-37.52056
T CrB    |1946|2431860|2431860| 2.5|  4|  6|  15|    | | 9.8|   93| |S(6)  |lc|Simbad|239.87567|+25.92016
V476 Cyg |1920|2422559|2422560| 1.9|  6| 16|  43|1076| |16.2|14000| |D(16) |lc|Simbad|299.60192|+53.61875
V1330 Cyg|1970|2440761|2440767| 9.9|161|217|    |    | |17.5|     | |S(217)|lc|Simbad|313.18700|+35.99103
V1500 Cyg|1975|2442654|2442655| 1.9|  2|  4|  32| 263| |17.9| 3400|a|S(4)  |lc|Simbad|317.90254|+48.15053
V1668 Cyg|1978|2443761|2443766| 6.2| 11| 26| 219| 948| |19.7|     | |S(26) |lc|Simbad|325.64675|+44.03192
V1819 Cyg|1986|2446645|2446648| 9.3| 95|181|1073|    | |17.0|     | |J(181)|lc|Simbad|298.65658|+35.70436
V1974 Cyg|1992|2448671|2448675| 4.3| 19| 43| 321| 847| |16.9| 4000|a|P(43) |lc|Simbad|307.63171|+52.63092
V2274 Cyg|2001|2452103|2452115|11.5| 22| 33| 200|    |>|20.0|     | |D(33) |lc|Simbad|301.82475|+36.07700
V2275 Cyg|2001|2452139|2452142| 6.9|  3|  8|  75| 472| |18.4|     | |S(8)  |lc|Simbad|315.75833|+48.76469
V2362 Cyg|2006|2453829|2453832| 8.1|  9|246| 312| 884|>|21.0|     | |C(246)|lc|Simbad|317.88477|+44.80102
V2467 Cyg|2007|2454174|2454175| 7.4|  8| 20| 207| 917|~|19.0|     | |O(20) |lc|Simbad|307.05217|+41.81014
V2491 Cyg|2008|2454567|2454568| 7.5|  4| 16|  38| 196|~|20.0|     | |C(16) |lc|Simbad|295.75817|+32.32050
HR Del   |1967|2439645|2439838| 3.6|167|231|1387|    | |12.1| 6000| |J(231)|lc|Simbad|310.58478|+19.16092
